ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,"Желтуха, Рвота",Диетолог,2023-06-09T20:22:37+03:00,Токсикологический анализ,2023-06-12T14:18:57+03:00,7847.0
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,"Желтуха, Рвота",Диетолог,2023-07-21T10:24:42+03:00,Токсикологический анализ,2023-07-24T14:48:06+03:00,7847.0
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,"Желтуха, Рвота",Диетолог,2024-04-20T09:23:35+03:00,Токсикологический анализ,2024-04-23T08:42:46+03:00,5158.0
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,Тошнота,Токсиколог,2024-06-03T17:10:37+03:00,Токсикологический анализ,2024-06-05T12:12:12+03:00,11188.0
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,"Боль в суставах, Онемение, Травмы костей",Хирург-ортопед,2024-06-03T17:10:37+03:00,МРТ суставов,2024-12-14T10:58:51+03:00,11215.0
Абрамов Василий Тимурович,Россия,,,,Сбербанк,MasterCard,"Частое мочеиспускание, Отеки",Нефролог,2024-12-18T15:05:13+03:00,УЗИ почек,2024-12-21T12:01:40+03:00,8288.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,Потеря слуха,Психиатр,2023-09-01T19:12:53+03:00,Токсикологическое исследование,2024-02-11T20:28:33+03:00,9472.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Тревожность, Депрессия, Нарушение сна, Утомляемость",Психиатр,2024-02-09T08:17:03+03:00,Токсикологическое исследование,2024-02-11T20:28:33+03:00,9472.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Температура, Отказ от еды",Неонатолог,2024-09-25T17:57:35+03:00,Неонатальный скрининг,2024-09-28T14:41:18+03:00,3120.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Покраснение кожи, Сыпь, Зуд",Дерматовенеролог,2025-04-10T08:26:10+03:00,Неонатальный скрининг,2025-04-12T10:46:21+03:00,2874.0
Абрамов Леон Владимирович,Казахстан,N 0759385,691-324-836 65,8907 5484 2055 1646,Сбербанк,Visa,,Проктолог,2023-05-27T15:48:11+03:00,"Общий анализ крови, ПЦР на ИППП",2024-07-20T17:57:09+03:00,9527.0
Абрамов Леон Владимирович,Казахстан,N 0759385,691-324-836 65,8907 5484 2055 1646,Сбербанк,Visa,,Проктолог,2024-07-18T12:45:37+03:00,"Общий анализ крови, ПЦР на ИППП",2024-07-20T17:57:09+03:00,9527.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,"Потеря слуха, Шум в ушах",Сурдолог,2023-11-12T08:50:42+03:00,,2023-11-14T09:30:05+03:00,6474.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,"Утомляемость, Депрессия",Психиатр,2024-08-19T11:22:58+03:00,,2023-11-14T09:30:05+03:00,11284.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,Выделения из сосков,Психиатр,2024-08-19T11:22:58+03:00,,2023-10-16T14:32:54+03:00,8035.0
Абрамов Мирон Саввич,Казахстан,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,"Покраснение кожи, Сыпь",Дерматовенеролог,2023-12-12T15:02:20+03:00,"ПЦР на ИППП, Соскоб кожи",2023-12-15T12:10:38+03:00,9931.0
Абрамов Мирон Саввич,Казахстан,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,Затрудненное дыхание,Пульмонолог,2023-12-12T15:02:20+03:00,"КТ легких, Общий анализ крови",2024-05-15T12:40:19+03:00,4014.0
Абрамов Мирон Саввич,Казахстан,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,Затрудненное дыхание,Психотерапевт,2023-12-12T15:02:20+03:00,ЭЭГ,2024-05-15T12:40:19+03:00,4423.0
Абрамов Назар Миронович,,N 0127116,415-463-753 48,8704 4884 8947 4231,Альфа-Банк,Visa,Отеки,Кардиолог,2023-12-23T16:17:49+03:00,"Гормональные исследования, Цитологическое исследование, УЗИ органов малого таза",2023-12-25T21:29:24+03:00,2711.0
Абрамов Назар Миронович,,N 0127116,415-463-753 48,8704 4884 8947 4231,Альфа-Банк,Visa,"Нарушение менструального цикла, Выделения",Гинеколог,2024-03-30T17:21:02+03:00,"Гормональные исследования, Цитологическое исследование, УЗИ органов малого таза",2024-04-02T09:11:57+03:00,2711.0
Абрамов Назар Степанович,Казахстан,N 6131423,376-117-599 86,7544 7121 4922 4106,Альфа-Банк,MasterCard,"Сыпь, Зуд, Покраснение кожи, Онемение кожи",Дерматолог,2023-08-03T16:14:40+03:00,"Коагулограмма, Ангиография, Общий анализ крови",2023-08-04T17:47:08+03:00,2988.0
Абрамов Назар Степанович,Казахстан,N 6131423,376-117-599 86,7544 7121 4922 4106,Альфа-Банк,MasterCard,"Боль в ногах, Отеки, Варикоз",Дерматолог,2023-08-03T16:14:40+03:00,"Коагулограмма, Ангиография, Общий анализ крови",2023-12-07T18:01:29+03:00,2988.0
Абрамов Николай Семёнович,Беларусь,OK 0575143,786-706-276 76,1703 3767 3680 2344,Сбербанк,Visa,Частые инфекции,Иммунолог,2024-01-09T17:42:20+03:00,Иммунограмма,2024-01-12T14:40:50+03:00,3990.0
Абрамов Николай Семёнович,Беларусь,OK 0575143,786-706-276 76,1703 3767 3680 2344,Сбербанк,Visa,"Боль в животе, Изжога",Гастроэнтеролог,2024-07-05T13:28:19+03:00,Анализ на хеликобактер пилори,2024-01-12T14:40:50+03:00,3990.0
Абрамов Николай Семёнович,Беларусь,OK 0575143,786-706-276 76,1703 3767 3680 2344,Сбербанк,Visa,"Боль в животе, Изжога",Стоматолог,2024-09-19T17:28:12+03:00,"Аллергопробы, Биохимический анализ крови, Рентген зубов",2024-09-22T09:25:04+03:00,4161.0
Абрамов Олег Дмитриевич,Россия,3288 749366,114-136-893 67,3068 6749 6046 9928,Сбербанк,Visa,"Частые заболевания, Лихорадка",Эпидемиолог,2023-12-13T19:08:30+03:00,Эзофагогастродуоденоскопия,2023-12-15T20:18:39+03:00,4828.0
Абрамов Олег Дмитриевич,Россия,3288 749366,114-136-893 67,3068 6749 6046 9928,Сбербанк,Visa,"Изжога, Тошнота, Боль в животе, Диарея",Гастроэнтеролог,2024-02-23T10:13:35+03:00,Эзофагогастродуоденоскопия,2024-02-25T10:37:23+03:00,4828.0
Абрамов Ратмир Николаевич,Россия,4304 405367,285-899-310 64,1564 6867 4372 2514,Сбербанк,MasterCard,"Острая боль в спине, Боль в суставах, Онемение конечностей",Ортопед,2023-07-21T16:44:24+03:00,"Общий анализ крови, Рентген, Анализ на ревматоидный фактор",2023-07-24T18:35:56+03:00,2503.0
Абрамов Ратмир Николаевич,Россия,4304 405367,285-899-310 64,1564 6867 4372 2514,Сбербанк,MasterCard,"Острая боль в спине, Боль в суставах, Онемение конечностей",Онколог,2024-08-18T19:53:58+03:00,Биопсия опухоли,2024-08-20T18:09:04+03:00,2503.0
Абрамов Ратмир Николаевич,Россия,4304 405367,285-899-310 64,1564 6867 4372 2514,Сбербанк,MasterCard,"Острая боль в спине, Боль в суставах, Онемение конечностей",Стоматолог,2024-10-10T21:50:07+03:00,"Панорамный снимок зубов, Аллергопробы",2024-10-12T11:52:06+03:00,9436.0
Абрамов Ратмир Николаевич,Россия,4304 405367,285-899-310 64,1564 6867 4372 2514,Сбербанк,MasterCard,"Острая боль в спине, Боль в суставах, Онемение конечностей",Ревматолог,2025-04-02T10:27:31+03:00,"МРТ суставов, Антинуклеарные антитела",2025-04-04T14:10:49+03:00,9436.0
Абрамов Роман Миронович,Беларусь,BU 1550964,832-183-436 83,2838 7127 9091 7325,Альфа-Банк,MasterCard,"Частые инфекции, Озноб",Психиатр,2023-07-02T19:01:03+03:00,Анализ на иммуноглобулины,2023-07-04T08:52:32+03:00,7474.0
Абрамов Роман Миронович,Беларусь,BU 1550964,832-183-436 83,2838 7127 9091 7325,Альфа-Банк,MasterCard,"Частые инфекции, Озноб",Иммунолог,2023-09-14T08:51:52+03:00,Анализ на иммуноглобулины,2023-09-16T18:42:34+03:00,7474.0
Абрамов Роман Миронович,Беларусь,BU 1550964,832-183-436 83,2838 7127 9091 7325,Альфа-Банк,MasterCard,"Частые инфекции, Лихорадка",Иммунолог,2024-07-17T17:01:54+03:00,Иммунограмма,2024-07-19T19:21:35+03:00,2254.0
Абрамов Роман Миронович,Беларусь,BU 1550964,832-183-436 83,2838 7127 9091 7325,Альфа-Банк,MasterCard,"Одышка, Затрудненное дыхание, Кашель",Пульмонолог,2024-07-17T17:01:54+03:00,КТ легких,2023-09-24T08:47:16+03:00,7493.0
Абрамов Станислав Иннокентьевич,Россия,1511 989148,292-177-379 20,7878 1536 6873 7644,Альфа-Банк,MasterCard,Боль в ногах,Сексопатолог,2024-03-02T13:40:55+03:00,"Ангиография, Общий анализ крови",2024-04-11T08:14:54+03:00,10140.0
Абрамов Станислав Иннокентьевич,Россия,1511 989148,292-177-379 20,7878 1536 6873 7644,Альфа-Банк,MasterCard,"Потеря оргазма, Нарушение полового влечения, Эректильная дисфункция",Сексопатолог,2024-04-09T08:10:45+03:00,"Ангиография, Общий анализ крови",2024-04-11T08:14:54+03:00,3211.0
Абрамов Станислав Иннокентьевич,Россия,1511 989148,292-177-379 20,7878 1536 6873 7644,Альфа-Банк,MasterCard,Тревожность,Сексопатолог,2024-06-20T10:54:41+03:00,"Общий анализ крови, Гормональные исследования, Психологические тесты",2024-06-21T12:40:24+03:00,5310.0
Абрамов Станислав Иннокентьевич,Россия,1511 989148,292-177-379 20,7878 1536 6873 7644,Альфа-Банк,MasterCard,"Потеря веса, Непереносимость продуктов, Ожирение",Диетолог,2024-10-17T15:47:26+03:00,Глюкоза крови,2024-10-19T13:19:59+03:00,6170.0
Абрамов Тарас Антонович,,,573-110-961 89,3750 4059 6219 1112,Сбербанк,Visa,"Покраснение кожи, Онемение кожи, Зуд",Дерматолог,,Аллергопробы,2024-11-15T10:34:23+03:00,5324.0
Абрамов Федор Юрьевич,Россия,1730 705806,630-784-819 45,8583 7539 6276 3944,Альфа-Банк,MasterCard,Онемение,Хирург-ортопед,2023-06-18T11:55:12+03:00,"Рентген, Общий анализ крови",2023-06-20T09:45:06+03:00,5459.0
Абрамов Федор Юрьевич,Россия,1730 705806,630-784-819 45,8583 7539 6276 3944,Альфа-Банк,MasterCard,"Нарушение сна, Депрессия, Тревожность, Утомляемость",Хирург-ортопед,2023-11-09T13:23:33+03:00,Гормональные исследования,2023-11-11T12:22:07+03:00,5459.0
Абрамов Федор Юрьевич,Россия,1730 705806,630-784-819 45,8583 7539 6276 3944,Альфа-Банк,MasterCard,Боль при мочеиспускании,Уролог,2024-06-19T19:53:21+03:00,"ПЦР на инфекции, УЗИ почек, Общий анализ мочи",2024-06-21T19:18:04+03:00,2468.0
Абрамов Федор Юрьевич,Россия,1730 705806,630-784-819 45,8583 7539 6276 3944,Альфа-Банк,MasterCard,Боль при мочеиспускании,Паразитолог,2024-06-19T19:53:21+03:00,Анализ на яйца глист,2024-11-13T09:08:18+03:00,2146.0
Абрамова Варвара Вячеславовна,Казахстан,,,6611 8158 6566 7570,Сбербанк,Visa,"Изжога, Диарея",Гастроэнтеролог,2023-07-06T11:42:57+03:00,"Копрограмма, Эзофагогастродуоденоскопия",2023-07-08T13:01:49+03:00,9933.0
Абрамова Василиса Никитична,Беларусь,IC 2907905,857-699-741 92,7286 7146 1726 3737,ВТБ,MasterCard,"Слабость, Боль в суставах, Одышка",Гериатр,2023-05-29T20:21:47+03:00,"УЗИ органов, Биохимический анализ крови",2023-06-01T15:27:16+03:00,7197.0
Абрамова Василиса Никитична,Беларусь,IC 2907905,857-699-741 92,7286 7146 1726 3737,ВТБ,MasterCard,"Слабость, Боль в суставах, Одышка",Уролог,2023-08-01T15:03:09+03:00,"УЗИ органов, Биохимический анализ крови",2023-08-03T10:35:32+03:00,6861.0
Абрамова Василиса Никитична,Беларусь,IC 2907905,857-699-741 92,7286 7146 1726 3737,ВТБ,MasterCard,"Слабость, Боль в суставах, Одышка",Ортопед,2024-01-03T08:03:38+03:00,"Рентген, Анализ на ревматоидный фактор, МРТ суставов",2024-01-04T10:21:58+03:00,6861.0
Абрамова Василиса Никитична,Беларусь,IC 2907905,857-699-741 92,7286 7146 1726 3737,ВТБ,MasterCard,"Боль в суставах, Острая боль в спине, Онемение конечностей",Ортопед,2025-02-13T14:45:08+03:00,МРТ суставов,2025-02-16T18:24:51+03:00,6248.0
Абрамова Вилена Романовна,Беларусь,VK 2611195,945-603-597 81,5793 7301 8197 4734,Сбербанк,MasterCard,Травмы костей,Хирург-ортопед,2024-01-17T16:50:52+03:00,"Анализ на ревматоидный фактор, Рентген",2024-01-19T18:15:29+03:00,3942.0
Абрамова Вилена Романовна,Беларусь,VK 2611195,945-603-597 81,5793 7301 8197 4734,Сбербанк,MasterCard,Травмы костей,Мануальный терапевт,2024-03-03T20:57:56+03:00,"Электромиография, Рентген",2024-03-05T18:04:36+03:00,3947.0
Абрамова Галина Гордеевна,Беларусь,TU 4091505,146-392-452 44,2428 3842 5825 5730,Сбербанк,Мир,"Сыпь, Покраснение кожи, Онемение кожи",Отоларинголог,2023-10-08T08:39:56+03:00,"Соскоб кожи, Общий анализ крови",2023-10-10T11:54:43+03:00,3223.0
Абрамова Галина Гордеевна,Беларусь,TU 4091505,146-392-452 44,2428 3842 5825 5730,Сбербанк,Мир,"Заложенность носа, Гнойные выделения, Боль в горле",Отоларинголог,2024-12-12T17:05:22+03:00,"Соскоб кожи, Общий анализ крови",2024-12-13T15:02:46+03:00,7982.0
Абрамова Галина Гордеевна,Беларусь,TU 4091505,146-392-452 44,2428 3842 5825 5730,Сбербанк,Мир,"Заложенность носа, Гнойные выделения, Боль в горле",Отоларинголог,2024-12-12T17:05:22+03:00,Анализ мочи по Нечипоренко,2023-12-05T14:38:45+03:00,7982.0
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,Потливость,Офтальмолог,2023-08-16T16:26:54+03:00,Оптическая когерентная томография,2023-08-17T17:10:02+03:00,4196.0
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,Потливость,Инфекционист,2023-08-16T16:26:54+03:00,Оптическая когерентная томография,2025-01-12T10:25:04+03:00,6070.0
Абрамова Евгения Климовна,Россия,7821 882647,353-644-744 45,9081 1840 6585 9887,Сбербанк,MasterCard,"Выявление опухолей, Визуализация внутренних органов",Радиолог,2024-04-08T14:19:16+03:00,УЗИ,2024-04-11T10:00:58+03:00,8206.0
Абрамова Евгения Климовна,Россия,7821 882647,353-644-744 45,9081 1840 6585 9887,Сбербанк,MasterCard,"Онемение, Травмы костей",Радиолог,2024-04-08T14:19:16+03:00,МРТ суставов,2023-07-27T10:35:24+03:00,11040.0
Абрамова Елизавета Никитична,Беларусь,XQ 4355829,204-591-223 92,9190 5508 9794 1067,Альфа-Банк,Visa,"Боль в суставах, Отек",Флеболог,2023-11-25T10:37:23+03:00,"УЗИ мягких тканей, Рентген, Общий анализ крови",2023-11-26T17:49:57+03:00,4702.0
Абрамова Елизавета Никитична,Беларусь,XQ 4355829,204-591-223 92,9190 5508 9794 1067,Альфа-Банк,Visa,"Боль в суставах, Отек",Флеболог,2024-05-26T09:06:08+03:00,"УЗИ мягких тканей, Рентген, Общий анализ крови",2024-05-28T14:33:54+03:00,9896.0
Абрамова Земфира Аркадьевна,Казахстан,N 8274915,801-805-930 91,1111 3168 8121 7187,Альфа-Банк,MasterCard,"Одышка, Слабость, Боль в суставах",Гериатр,2023-11-06T18:27:54+03:00,"ЭКГ, УЗИ органов, Биохимический анализ крови",2023-11-08T21:00:13+03:00,6697.0
Абрамова Земфира Аркадьевна,Казахстан,N 8274915,801-805-930 91,1111 3168 8121 7187,Альфа-Банк,MasterCard,Потеря веса,Онколог,2023-11-06T18:27:54+03:00,"ЭКГ, УЗИ органов, Биохимический анализ крови",2024-02-08T21:08:55+03:00,6697.0
Абрамова Злата Давидовна,Казахстан,N 3904962,762-296-979 63,3626 7652 8977 7239,Сбербанк,Visa,"Озноб, Лихорадка",Иммунолог,2023-05-30T16:29:40+03:00,ПЦР на вирусы,2024-08-21T12:28:51+03:00,7232.0
Абрамова Злата Давидовна,Казахстан,N 3904962,762-296-979 63,3626 7652 8977 7239,Сбербанк,Visa,"Желтуха, Рвота",Иммунолог,2024-08-19T20:14:36+03:00,"Общий анализ крови, Анализ на токсины в моче, Токсикологический анализ",2024-08-21T12:28:51+03:00,7232.0
Абрамова Злата Давидовна,Казахстан,N 3904962,762-296-979 63,3626 7652 8977 7239,Сбербанк,Visa,"Отеки, Боль в пояснице, Частое мочеиспускание",Нефролог,2024-08-19T20:14:36+03:00,"Общий анализ крови, Анализ на токсины в моче, Токсикологический анализ",2025-02-14T18:23:55+03:00,8036.0
Абрамова Зоя Эдуардовна,Беларусь,PY 9474953,611-392-646 64,7191 6025 9239 7468,Сбербанк,Visa,"Нарушение цикла, Выделения",,2023-09-24T11:17:41+03:00,"Цитологическое исследование, УЗИ плода, Мазок на флору",2024-08-18T14:54:59+03:00,11976.0
Абрамова Зоя Эдуардовна,Беларусь,PY 9474953,611-392-646 64,7191 6025 9239 7468,Сбербанк,Visa,"Боль в животе, Лихорадка, Потеря аппетита",,2024-08-15T21:13:28+03:00,"Копрограмма, Анализ на антитела к паразитам, Общий анализ крови",2024-08-18T14:54:59+03:00,11976.0
Абрамова Ия Никитична,Казахстан,N 1287014,165-934-440 88,8533 9631 3111 8750,Альфа-Банк,Мир,"Потеря аппетита, Боль в животе, Лихорадка, Сыпь",Маммолог,2023-11-25T09:45:54+03:00,Анализ на яйца глист,2023-11-26T11:05:07+03:00,10025.0
Абрамова Ия Никитична,Казахстан,N 1287014,165-934-440 88,8533 9631 3111 8750,Альфа-Банк,Мир,"Потеря аппетита, Боль в животе, Лихорадка, Сыпь",Паразитолог,2024-08-10T15:33:08+03:00,Анализ на яйца глист,2023-11-26T11:05:07+03:00,11566.0
Абрамова Ия Никитична,Казахстан,N 1287014,165-934-440 88,8533 9631 3111 8750,Альфа-Банк,Мир,"Отек, Переломы",Травматолог,2024-08-10T15:33:08+03:00,"Общий анализ крови, Рентген",2024-04-24T09:09:05+03:00,11020.0
Абрамова Капитолина Матвеевна,Беларусь,ZH 8347803,560-173-907 36,9319 1449 6992 2339,Сбербанк,Visa,"Отек, Переломы, Боль в суставах",Инфекционист,2024-12-07T14:35:39+03:00,"Биохимический анализ крови, Анализ на антитела",2024-12-09T16:25:49+03:00,2014.0
Абрамова Капитолина Матвеевна,Беларусь,ZH 8347803,560-173-907 36,9319 1449 6992 2339,Сбербанк,Visa,"Отек, Переломы, Боль в суставах",Травматолог,2025-03-11T18:40:05+03:00,"Биохимический анализ крови, Анализ на антитела",2025-03-14T13:38:17+03:00,2014.0
Абрамова Кира Анатольевна,,,949-913-382 93,8551 6006 1941 6715,Сбербанк,,"Выявление опухолей, Диагностика травм",Радиолог,,"Рентген, МРТ, КТ",,9558.0
Абрамова Кира Данииловна,Россия,6771 538458,772-818-589 84,2594 6704 5676 3490,,Мир,"Онемение конечностей, Боль в суставах, Острая боль в спине",Диетолог,2024-02-22T11:05:20+03:00,"Общий анализ крови, Рентген, МРТ суставов",2024-02-24T13:40:19+03:00,9838.0
Абрамова Кира Данииловна,Россия,6771 538458,772-818-589 84,2594 6704 5676 3490,,Мир,"Ожирение, Непереносимость продуктов, Потеря веса",Диетолог,2024-02-22T11:05:20+03:00,Анализ на пищевую непереносимость,2023-11-08T11:42:49+03:00,5258.0
Абрамова Ксения Тимуровна,Россия,9367 690678,544-498-357 25,3493 1401 9743 7381,Сбербанк,MasterCard,Покраснение глаз,Офтальмолог,2024-02-24T14:29:30+03:00,"Оптическая когерентная томография, Тонометрия глаза, Проверка остроты зрения",2024-02-27T09:23:48+03:00,5348.0
Абрамова Ксения Тимуровна,Россия,9367 690678,544-498-357 25,3493 1401 9743 7381,Сбербанк,MasterCard,Покраснение глаз,Инфекционист,2024-07-17T15:31:45+03:00,Общий анализ крови,2024-07-19T21:54:12+03:00,5348.0
Абрамова Ксения Тимуровна,Россия,9367 690678,544-498-357 25,3493 1401 9743 7381,Сбербанк,MasterCard,Боль в суставах,Гериатр,2024-07-18T09:17:46+03:00,УЗИ органов,2024-07-21T10:07:04+03:00,5348.0
Абрамова Лариса Святославовна,Россия,7712 813058,714-537-458 52,2058 8678 2294 8716,ВТБ,Visa,"Боль в костях, Потливость, Потеря веса, Лихорадка",Онколог,2024-05-10T10:33:22+03:00,"Биопсия опухоли, Общий анализ крови, Анализ на онкомаркеры",2024-05-11T11:31:13+03:00,5069.0
Абрамова Лариса Святославовна,Россия,7712 813058,714-537-458 52,2058 8678 2294 8716,ВТБ,Visa,"требующая обезболивания, Проблемы с дыханием, Боль",Анестезиолог,2024-09-20T15:51:18+03:00,"ЭКГ, Биохимический анализ крови",2024-09-21T10:29:07+03:00,7077.0
Абрамова Лариса Святославовна,Россия,7712 813058,714-537-458 52,2058 8678 2294 8716,ВТБ,Visa,"Бледность кожи, Слабость, Потливость, Лихорадка",Гематолог,2024-09-20T15:51:18+03:00,Коагулограмма,2024-10-21T13:15:46+03:00,10464.0
Абрамова Лариса Святославовна,Россия,7712 813058,714-537-458 52,2058 8678 2294 8716,ВТБ,Visa,"Одышка, Кашель, Температура",Гематолог,2024-09-20T15:51:18+03:00,"Проба Манту, Общий анализ крови, Анализ мокроты",2024-10-21T13:15:46+03:00,9357.0
Абрамова Лидия Константиновна,,N 9097647,418-880-376 64,5045 1534 6973 5672,ВТБ,Visa,"Нарушение полового влечения, Потеря оргазма, Эректильная дисфункция",Сексопатолог,2023-08-25T16:24:07+03:00,"Психологические тесты, Гормональные исследования, Анализ на тестостерон",2023-08-28T12:58:53+03:00,9963.0
Абрамова Любовь Аркадьевна,Россия,5638 347754,937-304-679 51,4726 9557 4782 9636,ВТБ,Visa,"Боль в анальной области, Запор, Кровотечение",Проктолог,2023-06-29T13:28:41+03:00,Рентген,2023-07-01T14:05:33+03:00,7340.0
Абрамова Любовь Аркадьевна,Россия,5638 347754,937-304-679 51,4726 9557 4782 9636,ВТБ,Visa,"Боль в анальной области, Запор, Кровотечение",Проктолог,2023-11-10T19:50:22+03:00,Колоноскопия,2023-11-12T08:36:10+03:00,10319.0
Абрамова Любовь Аркадьевна,Россия,5638 347754,937-304-679 51,4726 9557 4782 9636,ВТБ,Visa,"Боль в горле, Заложенность носа",Проктолог,2024-03-23T17:09:07+03:00,"Аудиометрия, Общий анализ крови, Рентген придаточных пазух",2024-03-26T15:53:30+03:00,10005.0
Абрамова Любовь Аркадьевна,Россия,5638 347754,937-304-679 51,4726 9557 4782 9636,ВТБ,Visa,Температура,Неонатолог,2025-02-23T13:15:47+03:00,УЗИ органов,2024-03-26T15:53:30+03:00,4576.0
Абрамова Любовь Аркадьевна,Россия,5638 347754,937-304-679 51,4726 9557 4782 9636,ВТБ,Visa,"Одышка, Потеря веса",Фтизиатр,2025-02-23T13:15:47+03:00,"Анализ мокроты, Общий анализ крови",2024-08-07T10:57:33+03:00,5197.0
Абрамова Мелания Вячеславовна,Россия,6645 532348,196-916-100 21,,Сбербанк,,"Нарушение осанки, Онемение, Боль в пояснице",,2025-02-07T18:31:32+03:00,Рентген,2025-02-10T11:34:31+03:00,
Абрамова Милана Павловна,Казахстан,N 2091326,293-924-348 53,5278 1251 1838 8677,Сбербанк,Мир,"Отеки, Учащенное сердцебиение, Боль в груди, Одышка",Венеролог,2023-08-14T12:54:15+03:00,"Общий анализ крови, ПЦР на инфекции",2023-08-16T11:14:14+03:00,6412.0
