ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,,,Visa,"Чихание, Сыпь, Одышка",Аллерголог,,,2024-06-23T15:21:25+03:00,8263.0
,Беларусь,VW 1300839,740-355-374 21,2902 7167 4511 7756,Тинькофф,,,Дерматолог,,Соскоб кожи,,
,,,,2902 7167 4511 7756,Тинькофф,Visa,"Боль при мочеиспускании, Частое мочеиспускание, Боль в пояснице",,,,,7454.0
Попов Олег Александрович,Россия,,670-649-331 25,,Альфа-Банк,Visa,"Чихание, Заложенность носа, Одышка, Сыпь",Аллерголог,2024-04-11T08:17:13+03:00,,,3722.0
Попов Олег Александрович,Россия,2031 206024,670-649-331 25,3738 5407 2116 6680,Альфа-Банк,Visa,,,2023-05-09T12:00:58+03:00,Соскоб кожи,2023-05-11T21:12:16+03:00,
,,,859-452-725 67,4680 3047 8887 2331,Сбербанк,Visa,Переломы,Травматолог,2023-05-17T09:05:28+03:00,"Общий анализ крови, УЗИ мягких тканей, Рентген",2023-05-18T18:41:09+03:00,8469.0
Муравьева Марта Анатольевна,Россия,,,4680 3047 8887 2331,,,,,2025-02-05T18:50:06+03:00,,2025-02-07T20:46:48+03:00,
Муравьева Марта Анатольевна,Россия,,859-452-725 67,,,Visa,,,,"УЗИ плода, Гормональные исследования, Цитологическое исследование",2024-10-25T19:16:23+03:00,9394.0
Романов Клим Андреевич,,IL 8613153,597-421-263 66,1949 3959 2036 6272,,Visa,,Нефролог,2023-11-03T15:00:33+03:00,УЗИ почек,,10134.0
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,,Сбербанк,Visa,"Боль в животе, Диарея, Тошнота",Гастроэнтеролог,,,2025-01-25T08:30:02+03:00,
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,1949 3959 2036 6272,,,,Гинеколог,2023-06-10T09:43:49+03:00,Мазок на флору,,
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,,,Visa,Боль в пояснице,Нефролог,2024-12-19T08:24:27+03:00,"Общий анализ мочи, УЗИ почек",,5756.0
Дроздов Родион Валерьевич,Россия,,905-922-381 74,7943 2780 6850 1279,Сбербанк,MasterCard,"Боль в суставах, Слабость",Гериатр,,"Общий анализ крови, УЗИ органов",,
Архипова Анжела Денисовна,Россия,8091 512201,,8480 7224 3009 8582,,MasterCard,"Боль в животе, Гнойные выделения",Хирург,2024-08-28T09:42:34+03:00,"УЗИ органов брюшной полости, Общий анализ крови, МРТ или КТ",2024-08-29T16:58:00+03:00,5589.0
Архипова Анжела Денисовна,,,,8480 7224 3009 8582,Сбербанк,,Выделения,Дерматовенеролог,,"ПЦР на ИППП, Общий анализ крови, Мазок на инфекции",,3865.0
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,Сбербанк,MasterCard,"Зуд, Покраснение кожи, Выделения",,,"ПЦР на ИППП, Соскоб кожи, Общий анализ крови",2023-09-29T13:04:33+03:00,6984.0
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,,MasterCard,"Тремор, Тошнота, Абстинентный синдром",Нарколог,2023-12-18T08:58:50+03:00,Психологические тесты,,11588.0
,Беларусь,,735-850-655 84,6581 4199 3158 1042,ВТБ,,"Температура, Потеря веса, Кашель, Одышка",Фтизиатр,2023-05-31T11:24:53+03:00,"Общий анализ крови, Рентген легких",,2425.0
Крылова Альбина Витальевна,Беларусь,,735-850-655 84,6581 4199 3158 1042,ВТБ,,"Гнойные выделения, Боль в горле, Заложенность носа",,2024-04-16T15:39:24+03:00,"Общий анализ крови, Аудиометрия",2024-04-18T20:05:13+03:00,6457.0
,Беларусь,BE 9304435,735-850-655 84,6581 4199 3158 1042,,Visa,,Косметолог,,"Биохимический анализ крови, Аллергопробы, Соскоб кожи",2023-10-06T11:05:16+03:00,3602.0
Зубков Вячеслав Алексеевич,Россия,,993-985-654 16,6343 2426 6351 4770,Сбербанк,Visa,Сыпь,Венеролог,,,,
,Россия,4327 798927,993-985-654 16,,Сбербанк,Visa,Онемение,,2024-11-28T17:53:00+03:00,"Допплерография сосудов, Ангиография",2024-11-30T09:28:50+03:00,
Зубков Вячеслав Алексеевич,Россия,,993-985-654 16,,Сбербанк,Visa,Темная моча,Гепатолог,2024-08-16T19:12:53+03:00,"Фиброскан, Биохимический анализ крови, Анализ на гепатиты",2024-08-18T15:43:58+03:00,3385.0
,Россия,,510-391-567 92,2294 4237 8883 1817,,Visa,"Частое мочеиспускание, Потливость, Жажда",Эндокринолог,,"ТТГ (тиреотропный гормон), УЗИ щитовидной железы, Инсулин",,2443.0
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,Кашель,Пульмонолог,2023-11-01T13:19:35+03:00,Рентген грудной клетки,,9729.0
Буров Владимир Валентинович,,4385 912581,,,Сбербанк,Visa,"Озноб, Покраснение кожи, Лихорадка",Инфекционист,2024-11-23T17:06:07+03:00,,2024-11-25T11:43:48+03:00,
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,"Боль в правом подреберье, Темная моча, Желтуха",Гепатолог,2025-01-19T20:16:20+03:00,Анализ на гепатиты,,9790.0
Головина Василиса Юрьевна,Беларусь,RC 9101751,,,Альфа-Банк,,,Проктолог,2025-02-27T09:03:06+03:00,Общий анализ крови,2025-03-02T12:52:09+03:00,2845.0
,,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Нарушение полового влечения, Эректильная дисфункция",Сексопатолог,2024-05-20T09:15:15+03:00,,2024-05-22T11:01:16+03:00,11387.0
Головина Василиса Юрьевна,Беларусь,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,,,,,,10019.0
Головина Василиса Юрьевна,,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Нарушение речи, Нарушение произношения звуков, Дисфония",Логопед,2023-07-16T13:20:43+03:00,"Психологическое тестирование, Нейропсихологическая диагностика",2023-07-18T15:25:25+03:00,
Захарова Нонна Юльевна,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,,Visa,,,2025-01-24T15:09:37+03:00,"Электромиография, Рентген, МРТ",2025-01-27T10:34:59+03:00,11282.0
,Казахстан,,470-479-592 40,,,Visa,,,2025-03-03T16:00:04+03:00,,2025-03-05T12:18:48+03:00,5894.0
,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,Сбербанк,,"Нарушение осанки, Онемение, Боль в пояснице",Мануальный терапевт,2025-01-31T11:15:00+03:00,"МРТ позвоночника, Электромиография",2025-02-01T10:42:39+03:00,6578.0
Захарова Нонна Юльевна,Казахстан,N 2297548,,,Сбербанк,,Сыпь,Венеролог,2023-06-20T19:48:46+03:00,Мазок на флору,2023-06-23T11:51:57+03:00,4183.0
Горшкова Зоя Семёновна,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,,Хирург-ортопед,2023-08-01T17:29:39+03:00,"МРТ суставов, Общий анализ крови",2023-08-03T17:34:17+03:00,9010.0
Горшкова Зоя Семёновна,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,"Лихорадка, Утомляемость",Иммунолог,2025-03-18T18:44:59+03:00,,,
,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,"Онемение, Отеки",Сосудистый хирург,2023-10-29T12:14:15+03:00,Допплерография сосудов,2023-11-01T21:31:01+03:00,
,Россия,,766-388-696 88,2892 9135 2122 6533,Сбербанк,,Потеря слуха,Сурдолог,2024-11-13T19:10:18+03:00,МРТ головного мозга,2024-11-15T09:27:15+03:00,
Андреев Павел Игнатьевич,Россия,8954 830186,,2892 9135 2122 6533,Сбербанк,Мир,Кашель,,2024-09-03T09:54:48+03:00,"Общий анализ мочи, Общий анализ крови, Иммуноферментный анализ (ИФА)",2024-09-05T14:27:02+03:00,3901.0
Максимов Лука Николаевич,,N 7698492,694-560-118 50,,,Visa,"Реабилитация после травм, Боль в суставах",,2024-08-18T10:44:53+03:00,"Электромиография, УЗИ суставов, МРТ",,2264.0
Максимов Лука Николаевич,Казахстан,N 7698492,,8436 1653 1902 6787,Сбербанк,Visa,"Сыпь, Потеря аппетита",Паразитолог,,"Анализ на яйца глист, Анализ на антитела к паразитам, Общий анализ крови",,6241.0
Максимов Лука Николаевич,,N 7698492,,8436 1653 1902 6787,Сбербанк,Visa,,,2025-02-05T18:50:26+03:00,"Анализ на ревматоидный фактор, Общий анализ крови",,6542.0
Максимова Оксана Егоровна,,N 4150173,759-432-524 42,,Сбербанк,,Проблемы с дыханием,Анестезиолог,,,,10994.0
,Казахстан,N 4150173,759-432-524 42,8443 7979 3400 3064,Сбербанк,,Зубная боль,Стоматолог,2024-06-06T18:01:24+03:00,Рентген зубов,2024-06-09T10:08:17+03:00,8416.0
,,,759-432-524 42,8443 7979 3400 3064,Сбербанк,Мир,Боль в суставах,Травматолог,,"УЗИ мягких тканей, Общий анализ крови, Рентген",2024-09-17T10:26:08+03:00,
Максимова Оксана Егоровна,,N 4150173,,8443 7979 3400 3064,Сбербанк,Мир,"Нарушение произношения звуков, Дисфония",,2024-09-04T08:40:28+03:00,,2024-09-05T09:49:45+03:00,10862.0
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,,3471 5859 3899 8625,Сбербанк,,Температура,Неонатолог,2023-06-03T20:02:41+03:00,,,
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,,3471 5859 3899 8625,,Мир,,Гематолог,,"Общий анализ крови, Ферритин",,11956.0
,,,382-581-912 30,3471 5859 3899 8625,,Мир,,Проктолог,2024-03-23T15:14:33+03:00,"Мазок на инфекции, Аноскопия",2024-03-24T08:41:11+03:00,2881.0
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,,3471 5859 3899 8625,Сбербанк,Мир,"Боль в анальной области, Запор, Кровотечение",,2024-10-29T16:02:45+03:00,,2024-11-01T09:27:09+03:00,2325.0
Кузнецов Абрам Трофимович,Беларусь,,382-581-912 30,,Сбербанк,Мир,Боль в пояснице,Уролог,2023-08-31T12:46:18+03:00,Анализ мочи по Нечипоренко,,2834.0
Дроздов Марат Максимович,Россия,4337 498508,,9244 5621 3571 1873,Сбербанк,,,Стоматолог,2023-09-26T21:32:27+03:00,Аллергопробы,2023-09-29T15:20:07+03:00,
Дроздов Марат Максимович,,4337 498508,827-843-795 72,9244 5621 3571 1873,,,"Онемение, Отеки, Боль в ногах",,2024-06-29T08:43:42+03:00,"Общий анализ крови, Ангиография",,
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,6466 6286 9995 7159,Тинькофф,MasterCard,,Аллерголог,2023-12-27T09:15:25+03:00,Общий анализ крови,,5276.0
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,6466 6286 9995 7159,Тинькофф,MasterCard,"Потеря аппетита, Боль в животе, Сыпь, Лихорадка",Паразитолог,2025-03-06T08:18:58+03:00,Анализ на антитела к паразитам,2025-03-09T16:24:14+03:00,11474.0
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,,,,"Травмы костей, Онемение",Хирург-ортопед,,Общий анализ крови,2025-03-28T21:07:48+03:00,11628.0
,Беларусь,AH 2500645,,2178 8902 3421 5056,Сбербанк,,,Нарколог,,,2023-07-12T20:26:26+03:00,11257.0
Соболева Ирма Захаровна,,AH 2500645,,2178 8902 3421 5056,Сбербанк,Visa,"Тошнота, Рвота",Токсиколог,,"Токсикологический анализ, Анализ на токсины в моче, Общий анализ крови",2024-07-11T08:01:02+03:00,
Соболева Ирма Захаровна,,AH 2500645,,2178 8902 3421 5056,Сбербанк,Visa,,Гепатолог,,"УЗИ печени, Биохимический анализ крови",,
,,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,Боль в суставах,,2024-01-15T11:03:58+03:00,"Анализ на ревматоидный фактор, Общий анализ крови, Рентген",2024-01-16T08:05:46+03:00,
,Беларусь,,,2178 8902 3421 5056,Сбербанк,Visa,Тошнота,,,"Биохимический анализ крови, Общий анализ крови, Анализ на токсины в моче",,4537.0
Уварова Татьяна Ярославовна,Беларусь,UT 1962974,,9436 9024 8799 2474,Сбербанк,Visa,"Гнойные выделения, Ушная боль, Боль в горле, Заложенность носа",Отоларинголог,2023-10-10T15:04:34+03:00,"Рентген придаточных пазух, Общий анализ крови, Аудиометрия",2023-10-12T21:24:27+03:00,5790.0
,Казахстан,,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,"Запор, Боль в анальной области, Кровотечение",,2025-04-02T12:30:00+03:00,Аноскопия,2025-04-03T21:57:49+03:00,9700.0
Шаров Владимир Данилович,Казахстан,,200-174-438 22,,Тинькофф,,"Потливость, Озноб, Лихорадка, Покраснение кожи",Инфекционист,,"Биохимический анализ крови, Анализ на антитела",2024-10-21T20:40:29+03:00,
Шаров Владимир Данилович,,,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,Бледность кожи,Гематолог,2023-08-02T15:41:44+03:00,"Коагулограмма, Анализ на тромбоциты, Общий анализ крови",2023-08-05T21:26:04+03:00,
,,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,Реабилитация после травм,Физиотерапевт,2025-03-13T12:43:09+03:00,"УЗИ суставов, Рентген",2025-03-15T20:15:57+03:00,4617.0
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,,Тинькофф,Мир,"Проблемы с дыханием, требующая обезболивания, Боль",Анестезиолог,2024-08-31T14:04:22+03:00,,,11854.0
Чернов Михаил Святославович,Беларусь,,425-551-244 96,8298 1765 7875 3817,Сбербанк,Visa,"Тревожность, Нарушение сна, Депрессия, Утомляемость",Психиатр,2024-07-05T16:42:00+03:00,"Токсикологическое исследование, Гормональные исследования, Психологические тесты",,10518.0
Чернов Михаил Святославович,Беларусь,QP 8567313,425-551-244 96,,Сбербанк,Visa,,,2024-03-17T15:31:57+03:00,Анализ на онкомаркеры,,5512.0
,Беларусь,FI 6305631,167-777-919 26,1430 5969 2414 3185,Сбербанк,MasterCard,,Гепатолог,2024-08-03T16:23:19+03:00,"УЗИ печени, Биохимический анализ крови",2024-08-05T08:50:22+03:00,6772.0
Логинова Ирина Мироновна,,,167-777-919 26,,Сбербанк,,,Радиолог,2023-06-19T12:04:12+03:00,,,
Логинова Ирина Мироновна,Беларусь,FI 6305631,167-777-919 26,,,MasterCard,Гнойные выделения,Хирург,2024-09-13T14:54:23+03:00,"Общий анализ крови, МРТ или КТ",2024-09-15T18:41:51+03:00,
,Россия,7503 318563,377-258-147 43,,Сбербанк,,Температура,Фтизиатр,2024-09-22T21:12:52+03:00,Проба Манту,,10593.0
Гуляев Ян Леонидович,Россия,7503 318563,,,Сбербанк,MasterCard,,Педиатр,,"Общий анализ крови, Общий анализ мочи, Копрограмма",2024-09-24T14:09:04+03:00,3271.0
Гуляев Ян Леонидович,,,377-258-147 43,8110 5951 2199 6667,Сбербанк,MasterCard,"Зубная боль, Гнойные выделения",Стоматолог,2024-07-05T13:42:57+03:00,"Рентген зубов, Биохимический анализ крови, Аллергопробы",,10484.0
Плотникова Есения Остаповна,Казахстан,N 0437138,476-348-675 48,7124 7225 1519 4096,,Мир,,Стоматолог,,Панорамный снимок зубов,2025-01-20T10:40:23+03:00,11651.0
Плотникова Есения Остаповна,,,476-348-675 48,7124 7225 1519 4096,,Мир,,Логопед,2023-06-10T17:12:40+03:00,"Аудиометрия, Нейропсихологическая диагностика",,4233.0
Плотникова Есения Остаповна,Казахстан,N 0437138,476-348-675 48,,Тинькофф,,"Выделения, Зуд, Покраснение кожи, Сыпь",Дерматовенеролог,2023-07-19T09:58:53+03:00,"Общий анализ крови, ПЦР на ИППП, Соскоб кожи",2023-07-22T15:18:14+03:00,6288.0
,Беларусь,VQ 9080570,475-645-548 88,1251 7084 1131 3142,,Мир,,Педиатр,2023-05-05T19:08:58+03:00,"Общий анализ крови, Общий анализ мочи",2023-05-07T20:38:40+03:00,5518.0
,Казахстан,N 0779382,546-578-989 72,3280 8801 9456 7265,,MasterCard,"Отказ от еды, Желтуха у новорожденных, Температура",Неонатолог,2023-08-07T17:42:49+03:00,,2023-08-09T18:04:33+03:00,9681.0
Максимов Макар Аркадьевич,Казахстан,N 0779382,546-578-989 72,3280 8801 9456 7265,Сбербанк,MasterCard,Покраснение кожи,Дерматовенеролог,2023-12-19T08:40:05+03:00,,,
,,MM 6151561,924-199-656 43,8809 7642 8607 2546,Тинькофф,Visa,"Онемение, Боль в пояснице",Мануальный терапевт,,"Общий анализ крови, МРТ позвоночника, Электромиография",,
Кириллова Ева Артуровна,Беларусь,MM 6151561,924-199-656 43,8809 7642 8607 2546,Тинькофф,Visa,Покраснение кожи,Косметолог,2024-03-01T17:37:08+03:00,"Соскоб кожи, Биохимический анализ крови, Аллергопробы",,2449.0
,Беларусь,MM 6151561,924-199-656 43,8809 7642 8607 2546,,Visa,"Потеря веса, Непереносимость продуктов",Диетолог,,,2025-02-20T18:57:01+03:00,9834.0
Федорова Ника Олеговна,Россия,6247 954224,,1647 8888 8898 5167,Сбербанк,Visa,"Частое мочеиспускание, Боль в пояснице, Отеки",Нефролог,2024-10-19T10:19:35+03:00,Анализ мочи по Нечипоренко,,8829.0
Федорова Ника Олеговна,,6247 954224,815-226-409 85,1647 8888 8898 5167,,,"Затрудненное дыхание, Боль в груди, Кашель",,2024-03-02T18:08:26+03:00,Рентген грудной клетки,2024-03-04T10:23:40+03:00,5440.0
,,,388-343-197 69,6367 7798 2486 7683,,Visa,"Зуд, Сыпь, Онемение кожи",Дерматолог,2024-07-14T12:41:50+03:00,,,
Быков Ефим Артурович,Россия,6287 859888,388-343-197 69,6367 7798 2486 7683,Сбербанк,Visa,"Лихорадка, Покраснение кожи",,2024-04-01T09:41:52+03:00,"Общий анализ крови, Биохимический анализ крови",2024-04-04T12:15:36+03:00,
Быков Ефим Артурович,Россия,6287 859888,388-343-197 69,6367 7798 2486 7683,Сбербанк,Visa,"Боль в суставах, Отечность суставов",Ревматолог,2024-08-31T13:22:54+03:00,Анализ на ревматоидный фактор,2024-09-02T13:23:57+03:00,
Михайлов Юлий Гордеевич,,,173-577-930 32,,,Мир,Одышка,Аллерголог,2025-03-31T17:52:29+03:00,"Аллергопробы, Кожные тесты на аллергены, Общий анализ крови",2025-04-03T09:57:56+03:00,11523.0
Михайлов Юлий Гордеевич,,6827 678417,173-577-930 32,,Сбербанк,Мир,Боль в суставах,Травматолог,2023-11-03T09:11:39+03:00,,2023-11-05T13:48:47+03:00,5255.0
Гаврилов Семен Макарович,Россия,6657 347530,,5160 6196 9172 7034,Сбербанк,Мир,"Боль в животе, Гнойные выделения",Хирург,2025-02-03T13:13:02+03:00,,2025-02-06T12:28:08+03:00,
Гаврилов Семен Макарович,,,140-573-181 66,,,,,,,,2024-07-06T15:04:27+03:00,
Грачева Анжела Вячеславовна,,9520 505210,844-460-926 28,4510 6306 9917 9862,ВТБ,Visa,,Проктолог,2024-08-20T10:42:02+03:00,"Колоноскопия, Мазок на инфекции",2024-08-22T20:21:42+03:00,8978.0
Быков Святослав Данилович,Россия,,202-562-743 15,5875 8492 2835 9742,Сбербанк,Visa,,,,Глюкоза крови,2024-02-17T14:03:46+03:00,2684.0
Быков Святослав Данилович,Россия,,202-562-743 15,,Сбербанк,Visa,,,2024-08-06T10:00:16+03:00,"Проверка остроты зрения, Оптическая когерентная томография, Тонометрия глаза",,
Быков Святослав Данилович,Россия,1484 481303,,5875 8492 2835 9742,,Visa,"Боль в области трансплантата, Отторжение органа",,,Коагулограмма,2025-03-13T20:27:03+03:00,9001.0
Быков Святослав Данилович,Россия,1484 481303,202-562-743 15,5875 8492 2835 9742,,Visa,Выделения,,,Цитологическое исследование,,
Беляев Александр Александрович,Казахстан,N 4132777,349-649-685 60,,,Visa,"Учащенное сердцебиение, Боль в груди",Кардиолог,2023-05-26T11:48:16+03:00,ЭКГ,2023-05-27T17:14:59+03:00,6203.0
Беляев Александр Александрович,Казахстан,,349-649-685 60,2711 6575 7684 2727,Сбербанк,Visa,,Физиотерапевт,2023-11-04T20:02:23+03:00,,,3388.0
Беляев Александр Александрович,Казахстан,N 4132777,349-649-685 60,2711 6575 7684 2727,Сбербанк,,,Мануальный терапевт,2023-07-18T18:50:52+03:00,"Рентген, МРТ позвоночника",2023-07-21T19:36:41+03:00,11505.0
Ершова Регина Семёновна,,,715-866-272 51,,,Visa,,,2024-12-12T08:14:08+03:00,"МРТ, УЗИ суставов, Электромиография",2024-12-13T12:37:01+03:00,
Гуляев Ярослав Филиппович,,,544-443-719 38,7975 8395 2507 6086,Сбербанк,Мир,"Потеря веса, Жажда",Эндокринолог,,Тест на толерантность к глюкозе,,6393.0
Гуляев Ярослав Филиппович,Россия,3618 365065,544-443-719 38,7975 8395 2507 6086,Сбербанк,Мир,"Частые инфекции, Лихорадка, Утомляемость",Иммунолог,2023-05-11T09:00:42+03:00,ПЦР на вирусы,,6281.0
Гуляев Ярослав Филиппович,Россия,3618 365065,,7975 8395 2507 6086,Сбербанк,Мир,"Боль в суставах, Травмы костей, Онемение",Хирург-ортопед,,"Рентген, Анализ на ревматоидный фактор",,5055.0
Гуляев Ярослав Филиппович,Россия,,,7975 8395 2507 6086,Сбербанк,Мир,Диарея,Гастроэнтеролог,2025-03-01T12:50:38+03:00,"УЗИ органов брюшной полости, Анализ на хеликобактер пилори, Копрограмма",2025-03-04T18:59:29+03:00,7795.0
Гуляев Ярослав Филиппович,Россия,,544-443-719 38,7975 8395 2507 6086,,Мир,Нарушение полового влечения,,,Гормональные исследования,2023-05-16T12:15:27+03:00,7719.0
Кузьмина Анастасия Васильевна,,6452 434421,766-258-115 78,3750 6547 9020 2373,Сбербанк,,,,2025-04-30T16:29:15+03:00,,2025-05-03T21:07:49+03:00,
Кузьмина Анастасия Васильевна,Россия,6452 434421,,3750 6547 9020 2373,,Visa,"Слабость, Лихорадка, Потливость, Бледность кожи",,2024-02-28T18:43:01+03:00,,2024-03-02T11:55:24+03:00,
Кузьмина Анастасия Васильевна,,6452 434421,766-258-115 78,3750 6547 9020 2373,Сбербанк,Visa,"Нарушение осанки, Онемение, Боль в пояснице",Мануальный терапевт,,"Общий анализ крови, Рентген, Электромиография",2024-01-25T14:29:39+03:00,
Кузьмина Анастасия Васильевна,Россия,,766-258-115 78,3750 6547 9020 2373,Сбербанк,Visa,"Боль в суставах, Онемение, Отечность суставов",Ревматолог,,Антинуклеарные антитела,2024-08-24T10:54:37+03:00,3439.0
Горохов Ярослав Елисеевич,Казахстан,,193-280-508 40,1507 1402 5411 3333,ВТБ,Мир,"Потеря оргазма, Эректильная дисфункция",Сексопатолог,2023-08-05T09:31:35+03:00,Анализ на тестостерон,2023-08-06T19:34:21+03:00,10713.0
Горохов Ярослав Елисеевич,,N 0553921,,1507 1402 5411 3333,ВТБ,Мир,"Боль в суставах, Онемение, Травмы костей",,2023-10-18T17:57:03+03:00,"Рентген, Общий анализ крови",2023-10-20T21:38:24+03:00,
