ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,"Онемение конечностей, Острая боль в спине, Боль в суставах",Ортопед,2025-04-11T13:32:20+03:00,"Общий анализ крови, Анализ на ревматоидный фактор",2025-04-13T08:57:05+03:00,2198
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,"Утомляемость, Нарушение сна, Депрессия, Тревожность",Психиатр,2024-04-22T10:13:08+03:00,"Токсикологическое исследование, Общий анализ крови, Психологические тесты",2024-04-23T19:08:10+03:00,11303
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,Абстинентный синдром,Нарколог,2023-08-01T19:55:13+03:00,Анализ на наркотики,2023-08-03T21:49:08+03:00,11882
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,"Лихорадка, Потеря аппетита, Боль в животе",Паразитолог,2023-07-30T16:47:26+03:00,"Копрограмма, Анализ на антитела к паразитам, Общий анализ крови",2023-08-01T21:49:35+03:00,3287
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,"Чихание, Сыпь, Одышка",Аллерголог,2024-06-21T17:49:58+03:00,"Аллергопробы, Иммуноглобулин Е",2024-06-23T15:21:25+03:00,8263
Степанов Юрий Максимович,Беларусь,VW 1300839,740-355-374 21,2902 7167 4511 7756,Тинькофф,Visa,"Онемение кожи, Покраснение кожи",Дерматолог,2023-11-16T09:17:56+03:00,Соскоб кожи,2023-11-17T14:05:57+03:00,2568
Степанов Юрий Максимович,Беларусь,VW 1300839,740-355-374 21,2902 7167 4511 7756,Тинькофф,Visa,"Боль при мочеиспускании, Частое мочеиспускание, Боль в пояснице",Уролог,2023-12-10T09:34:22+03:00,"УЗИ почек, Анализ мочи по Нечипоренко",2023-12-11T14:50:54+03:00,7454
Попов Олег Александрович,Россия,2031 206024,670-649-331 25,3738 5407 2116 6680,Альфа-Банк,Visa,"Чихание, Заложенность носа, Одышка, Сыпь",Аллерголог,2024-04-11T08:17:13+03:00,"Общий анализ крови, Кожные тесты на аллергены, Аллергопробы",2024-04-13T12:37:32+03:00,3722
Попов Олег Александрович,Россия,2031 206024,670-649-331 25,3738 5407 2116 6680,Альфа-Банк,Visa,Акне,Косметолог,2023-05-09T12:00:58+03:00,Соскоб кожи,2023-05-11T21:12:16+03:00,2454
Муравьева Марта Анатольевна,Россия,6897 866237,859-452-725 67,4680 3047 8887 2331,Сбербанк,Visa,Переломы,Травматолог,2023-05-17T09:05:28+03:00,"Общий анализ крови, УЗИ мягких тканей, Рентген",2023-05-18T18:41:09+03:00,8469
Муравьева Марта Анатольевна,Россия,6897 866237,859-452-725 67,4680 3047 8887 2331,Сбербанк,Visa,Озноб,Инфекционист,2025-02-05T18:50:06+03:00,"ПЦР на инфекции, Общий анализ крови, Биохимический анализ крови",2025-02-07T20:46:48+03:00,9894
Муравьева Марта Анатольевна,Россия,6897 866237,859-452-725 67,4680 3047 8887 2331,Сбербанк,Visa,Выделения,Акушер-гинеколог,2024-10-23T08:19:21+03:00,"УЗИ плода, Гормональные исследования, Цитологическое исследование",2024-10-25T19:16:23+03:00,9394
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,1949 3959 2036 6272,Сбербанк,Visa,"Боль в пояснице, Отеки",Нефролог,2023-11-03T15:00:33+03:00,УЗИ почек,2023-11-04T12:41:54+03:00,10134
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,1949 3959 2036 6272,Сбербанк,Visa,"Боль в животе, Диарея, Тошнота",Гастроэнтеролог,2025-01-22T09:53:27+03:00,"УЗИ органов брюшной полости, Эзофагогастродуоденоскопия",2025-01-25T08:30:02+03:00,4794
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,1949 3959 2036 6272,Сбербанк,Visa,"Нарушение менструального цикла, Боли внизу живота",Гинеколог,2023-06-10T09:43:49+03:00,Мазок на флору,2023-06-13T11:22:20+03:00,3194
Романов Клим Андреевич,Беларусь,IL 8613153,597-421-263 66,1949 3959 2036 6272,Сбербанк,Visa,Боль в пояснице,Нефролог,2024-12-19T08:24:27+03:00,"Общий анализ мочи, УЗИ почек",2024-12-22T15:27:49+03:00,5756
Дроздов Родион Валерьевич,Россия,4704 474958,905-922-381 74,7943 2780 6850 1279,Сбербанк,MasterCard,"Боль в суставах, Слабость",Гериатр,2024-05-19T21:16:06+03:00,"Общий анализ крови, УЗИ органов",2024-05-20T09:26:27+03:00,6930
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,Сбербанк,MasterCard,"Боль в животе, Гнойные выделения",Хирург,2024-08-28T09:42:34+03:00,"УЗИ органов брюшной полости, Общий анализ крови, МРТ или КТ",2024-08-29T16:58:00+03:00,5589
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,Сбербанк,MasterCard,Выделения,Дерматовенеролог,2023-07-01T14:50:08+03:00,"ПЦР на ИППП, Общий анализ крови, Мазок на инфекции",2023-07-04T13:59:33+03:00,3865
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,Сбербанк,MasterCard,"Зуд, Покраснение кожи, Выделения",Дерматовенеролог,2023-09-28T17:16:50+03:00,"ПЦР на ИППП, Соскоб кожи, Общий анализ крови",2023-09-29T13:04:33+03:00,6984
Архипова Анжела Денисовна,Россия,8091 512201,538-401-632 69,8480 7224 3009 8582,Сбербанк,MasterCard,"Тремор, Тошнота, Абстинентный синдром",Нарколог,2023-12-18T08:58:50+03:00,Психологические тесты,2023-12-21T21:19:08+03:00,11588
Крылова Альбина Витальевна,Беларусь,BE 9304435,735-850-655 84,6581 4199 3158 1042,ВТБ,Visa,"Температура, Потеря веса, Кашель, Одышка",Фтизиатр,2023-05-31T11:24:53+03:00,"Общий анализ крови, Рентген легких",2023-06-02T14:38:38+03:00,2425
Крылова Альбина Витальевна,Беларусь,BE 9304435,735-850-655 84,6581 4199 3158 1042,ВТБ,Visa,"Гнойные выделения, Боль в горле, Заложенность носа",Отоларинголог,2024-04-16T15:39:24+03:00,"Общий анализ крови, Аудиометрия",2024-04-18T20:05:13+03:00,6457
Крылова Альбина Витальевна,Беларусь,BE 9304435,735-850-655 84,6581 4199 3158 1042,ВТБ,Visa,"Акне, Сыпь, Покраснение кожи",Косметолог,2023-10-05T18:55:31+03:00,"Биохимический анализ крови, Аллергопробы, Соскоб кожи",2023-10-06T11:05:16+03:00,3602
Зубков Вячеслав Алексеевич,Россия,4327 798927,993-985-654 16,6343 2426 6351 4770,Сбербанк,Visa,Сыпь,Венеролог,2024-05-20T21:49:41+03:00,"Анализ на ВИЧ, ПЦР на инфекции",2024-05-23T15:31:56+03:00,7165
Зубков Вячеслав Алексеевич,Россия,4327 798927,993-985-654 16,6343 2426 6351 4770,Сбербанк,Visa,Онемение,Сосудистый хирург,2024-11-28T17:53:00+03:00,"Допплерография сосудов, Ангиография",2024-11-30T09:28:50+03:00,9419
Зубков Вячеслав Алексеевич,Россия,4327 798927,993-985-654 16,6343 2426 6351 4770,Сбербанк,Visa,Темная моча,Гепатолог,2024-08-16T19:12:53+03:00,"Фиброскан, Биохимический анализ крови, Анализ на гепатиты",2024-08-18T15:43:58+03:00,3385
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,"Частое мочеиспускание, Потливость, Жажда",Эндокринолог,2024-01-22T19:14:16+03:00,"ТТГ (тиреотропный гормон), УЗИ щитовидной железы, Инсулин",2024-01-24T16:08:48+03:00,2443
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,Кашель,Пульмонолог,2023-11-01T13:19:35+03:00,Рентген грудной клетки,2023-11-03T08:53:14+03:00,9729
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,"Озноб, Покраснение кожи, Лихорадка",Инфекционист,2024-11-23T17:06:07+03:00,"Общий анализ крови, ПЦР на инфекции, Биохимический анализ крови",2024-11-25T11:43:48+03:00,9782
Буров Владимир Валентинович,Россия,4385 912581,510-391-567 92,2294 4237 8883 1817,Сбербанк,Visa,"Боль в правом подреберье, Темная моча, Желтуха",Гепатолог,2025-01-19T20:16:20+03:00,Анализ на гепатиты,2025-01-21T15:42:34+03:00,9790
Головина Василиса Юрьевна,Беларусь,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Кровотечение, Боль в анальной области, Запор",Проктолог,2025-02-27T09:03:06+03:00,Общий анализ крови,2025-03-02T12:52:09+03:00,2845
Головина Василиса Юрьевна,Беларусь,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Нарушение полового влечения, Эректильная дисфункция",Сексопатолог,2024-05-20T09:15:15+03:00,"Гормональные исследования, Психологические тесты",2024-05-22T11:01:16+03:00,11387
Головина Василиса Юрьевна,Беларусь,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Сыпь, Боль в животе",Паразитолог,2024-09-25T10:33:14+03:00,"Анализ на антитела к паразитам, Анализ на яйца глист",2024-09-28T17:14:48+03:00,10019
Головина Василиса Юрьевна,Беларусь,RC 9101751,801-677-165 85,5782 9999 1166 7166,Альфа-Банк,Visa,"Нарушение речи, Нарушение произношения звуков, Дисфония",Логопед,2023-07-16T13:20:43+03:00,"Психологическое тестирование, Нейропсихологическая диагностика",2023-07-18T15:25:25+03:00,3896
Захарова Нонна Юльевна,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,Сбербанк,Visa,Реабилитация после травм,Физиотерапевт,2025-01-24T15:09:37+03:00,"Электромиография, Рентген, МРТ",2025-01-27T10:34:59+03:00,11282
Захарова Нонна Юльевна,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,Сбербанк,Visa,Проблемы с дыханием,Анестезиолог,2025-03-03T16:00:04+03:00,"Общий анализ крови, Биохимический анализ крови",2025-03-05T12:18:48+03:00,5894
Захарова Нонна Юльевна,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,Сбербанк,Visa,"Нарушение осанки, Онемение, Боль в пояснице",Мануальный терапевт,2025-01-31T11:15:00+03:00,"МРТ позвоночника, Электромиография",2025-02-01T10:42:39+03:00,6578
Захарова Нонна Юльевна,Казахстан,N 2297548,470-479-592 40,9236 5114 1303 1611,Сбербанк,Visa,Сыпь,Венеролог,2023-06-20T19:48:46+03:00,Мазок на флору,2023-06-23T11:51:57+03:00,4183
Горшкова Зоя Семёновна,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,Травмы костей,Хирург-ортопед,2023-08-01T17:29:39+03:00,"МРТ суставов, Общий анализ крови",2023-08-03T17:34:17+03:00,9010
Горшкова Зоя Семёновна,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,"Лихорадка, Утомляемость",Иммунолог,2025-03-18T18:44:59+03:00,ПЦР на вирусы,2025-03-21T09:57:28+03:00,8268
Горшкова Зоя Семёновна,Беларусь,WC 4934984,490-904-682 96,8303 5107 3751 1233,ВТБ,MasterCard,"Онемение, Отеки",Сосудистый хирург,2023-10-29T12:14:15+03:00,Допплерография сосудов,2023-11-01T21:31:01+03:00,4862
Андреев Павел Игнатьевич,Россия,8954 830186,766-388-696 88,2892 9135 2122 6533,Сбербанк,Мир,Потеря слуха,Сурдолог,2024-11-13T19:10:18+03:00,МРТ головного мозга,2024-11-15T09:27:15+03:00,6376
Андреев Павел Игнатьевич,Россия,8954 830186,766-388-696 88,2892 9135 2122 6533,Сбербанк,Мир,Кашель,Педиатр,2024-09-03T09:54:48+03:00,"Общий анализ мочи, Общий анализ крови, Иммуноферментный анализ (ИФА)",2024-09-05T14:27:02+03:00,3901
Максимов Лука Николаевич,Казахстан,N 7698492,694-560-118 50,8436 1653 1902 6787,Сбербанк,Visa,"Реабилитация после травм, Боль в суставах",Физиотерапевт,2024-08-18T10:44:53+03:00,"Электромиография, УЗИ суставов, МРТ",2024-08-20T14:46:13+03:00,2264
Максимов Лука Николаевич,Казахстан,N 7698492,694-560-118 50,8436 1653 1902 6787,Сбербанк,Visa,"Сыпь, Потеря аппетита",Паразитолог,2024-04-22T09:23:09+03:00,"Анализ на яйца глист, Анализ на антитела к паразитам, Общий анализ крови",2024-04-24T21:12:19+03:00,6241
Максимов Лука Николаевич,Казахстан,N 7698492,694-560-118 50,8436 1653 1902 6787,Сбербанк,Visa,"Онемение, Травмы костей",Хирург-ортопед,2025-02-05T18:50:26+03:00,"Анализ на ревматоидный фактор, Общий анализ крови",2025-02-07T16:56:06+03:00,6542
Максимова Оксана Егоровна,Казахстан,N 4150173,759-432-524 42,8443 7979 3400 3064,Сбербанк,Мир,Проблемы с дыханием,Анестезиолог,2025-03-04T19:13:29+03:00,"Общий анализ крови, Коагулограмма",2025-03-07T16:21:24+03:00,10994
Максимова Оксана Егоровна,Казахстан,N 4150173,759-432-524 42,8443 7979 3400 3064,Сбербанк,Мир,Зубная боль,Стоматолог,2024-06-06T18:01:24+03:00,Рентген зубов,2024-06-09T10:08:17+03:00,8416
Максимова Оксана Егоровна,Казахстан,N 4150173,759-432-524 42,8443 7979 3400 3064,Сбербанк,Мир,Боль в суставах,Травматолог,2024-09-16T21:10:30+03:00,"УЗИ мягких тканей, Общий анализ крови, Рентген",2024-09-17T10:26:08+03:00,7752
Максимова Оксана Егоровна,Казахстан,N 4150173,759-432-524 42,8443 7979 3400 3064,Сбербанк,Мир,"Нарушение произношения звуков, Дисфония",Логопед,2024-09-04T08:40:28+03:00,"Психологическое тестирование, Аудиометрия, Нейропсихологическая диагностика",2024-09-05T09:49:45+03:00,10862
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,382-581-912 30,3471 5859 3899 8625,Сбербанк,Мир,Температура,Неонатолог,2023-06-03T20:02:41+03:00,Общий анализ крови,2023-06-05T18:56:30+03:00,8172
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,382-581-912 30,3471 5859 3899 8625,Сбербанк,Мир,"Потливость, Бледность кожи, Слабость, Лихорадка",Гематолог,2025-02-22T13:15:38+03:00,"Общий анализ крови, Ферритин",2025-02-25T19:18:05+03:00,11956
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,382-581-912 30,3471 5859 3899 8625,Сбербанк,Мир,"Боль в анальной области, Кровотечение",Проктолог,2024-03-23T15:14:33+03:00,"Мазок на инфекции, Аноскопия",2024-03-24T08:41:11+03:00,2881
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,382-581-912 30,3471 5859 3899 8625,Сбербанк,Мир,"Боль в анальной области, Запор, Кровотечение",Проктолог,2024-10-29T16:02:45+03:00,Общий анализ крови,2024-11-01T09:27:09+03:00,2325
Кузнецов Абрам Трофимович,Беларусь,IB 3018509,382-581-912 30,3471 5859 3899 8625,Сбербанк,Мир,Боль в пояснице,Уролог,2023-08-31T12:46:18+03:00,Анализ мочи по Нечипоренко,2023-09-02T17:27:31+03:00,2834
Дроздов Марат Максимович,Россия,4337 498508,827-843-795 72,9244 5621 3571 1873,Сбербанк,Мир,"Отек десен, Зубная боль, Гнойные выделения",Стоматолог,2023-09-26T21:32:27+03:00,Аллергопробы,2023-09-29T15:20:07+03:00,11758
Дроздов Марат Максимович,Россия,4337 498508,827-843-795 72,9244 5621 3571 1873,Сбербанк,Мир,"Онемение, Отеки, Боль в ногах",Сосудистый хирург,2024-06-29T08:43:42+03:00,"Общий анализ крови, Ангиография",2024-07-02T09:08:10+03:00,11891
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,6466 6286 9995 7159,Тинькофф,MasterCard,"Чихание, Заложенность носа, Сыпь",Аллерголог,2023-12-27T09:15:25+03:00,Общий анализ крови,2023-12-29T16:20:37+03:00,5276
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,6466 6286 9995 7159,Тинькофф,MasterCard,"Потеря аппетита, Боль в животе, Сыпь, Лихорадка",Паразитолог,2025-03-06T08:18:58+03:00,Анализ на антитела к паразитам,2025-03-09T16:24:14+03:00,11474
Лазарев Тимур Станиславович,Казахстан,N 3643258,560-889-279 94,6466 6286 9995 7159,Тинькофф,MasterCard,"Травмы костей, Онемение",Хирург-ортопед,2025-03-25T18:39:28+03:00,Общий анализ крови,2025-03-28T21:07:48+03:00,11628
Соболева Ирма Захаровна,Беларусь,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,"Тремор, Тошнота, Абстинентный синдром",Нарколог,2023-07-10T12:59:45+03:00,Токсикологическое исследование,2023-07-12T20:26:26+03:00,11257
Соболева Ирма Захаровна,Беларусь,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,"Тошнота, Рвота",Токсиколог,2024-07-09T16:04:28+03:00,"Токсикологический анализ, Анализ на токсины в моче, Общий анализ крови",2024-07-11T08:01:02+03:00,6419
Соболева Ирма Захаровна,Беларусь,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,"Темная моча, Желтуха, Боль в правом подреберье",Гепатолог,2025-04-12T12:38:51+03:00,"УЗИ печени, Биохимический анализ крови",2025-04-14T19:20:35+03:00,8795
Соболева Ирма Захаровна,Беларусь,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,Боль в суставах,Хирург-ортопед,2024-01-15T11:03:58+03:00,"Анализ на ревматоидный фактор, Общий анализ крови, Рентген",2024-01-16T08:05:46+03:00,2410
Соболева Ирма Захаровна,Беларусь,AH 2500645,952-743-417 42,2178 8902 3421 5056,Сбербанк,Visa,Тошнота,Токсиколог,2024-04-04T09:50:47+03:00,"Биохимический анализ крови, Общий анализ крови, Анализ на токсины в моче",2024-04-06T20:31:07+03:00,4537
Уварова Татьяна Ярославовна,Беларусь,UT 1962974,612-973-683 87,9436 9024 8799 2474,Сбербанк,Visa,"Гнойные выделения, Ушная боль, Боль в горле, Заложенность носа",Отоларинголог,2023-10-10T15:04:34+03:00,"Рентген придаточных пазух, Общий анализ крови, Аудиометрия",2023-10-12T21:24:27+03:00,5790
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,"Запор, Боль в анальной области, Кровотечение",Проктолог,2025-04-02T12:30:00+03:00,Аноскопия,2025-04-03T21:57:49+03:00,9700
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,"Потливость, Озноб, Лихорадка, Покраснение кожи",Инфекционист,2024-10-19T17:06:51+03:00,"Биохимический анализ крови, Анализ на антитела",2024-10-21T20:40:29+03:00,5208
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,Бледность кожи,Гематолог,2023-08-02T15:41:44+03:00,"Коагулограмма, Анализ на тромбоциты, Общий анализ крови",2023-08-05T21:26:04+03:00,2383
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,Реабилитация после травм,Физиотерапевт,2025-03-13T12:43:09+03:00,"УЗИ суставов, Рентген",2025-03-15T20:15:57+03:00,4617
Шаров Владимир Данилович,Казахстан,N 8559342,200-174-438 22,4535 2120 6449 1289,Тинькофф,Мир,"Проблемы с дыханием, требующая обезболивания, Боль",Анестезиолог,2024-08-31T14:04:22+03:00,"ЭКГ, Коагулограмма",2024-09-02T21:29:05+03:00,11854
Чернов Михаил Святославович,Беларусь,QP 8567313,425-551-244 96,8298 1765 7875 3817,Сбербанк,Visa,"Тревожность, Нарушение сна, Депрессия, Утомляемость",Психиатр,2024-07-05T16:42:00+03:00,"Токсикологическое исследование, Гормональные исследования, Психологические тесты",2024-07-06T20:53:07+03:00,10518
Чернов Михаил Святославович,Беларусь,QP 8567313,425-551-244 96,8298 1765 7875 3817,Сбербанк,Visa,"Потливость, Лихорадка, Потеря веса, Боль в костях",Онколог,2024-03-17T15:31:57+03:00,Анализ на онкомаркеры,2024-03-19T14:46:00+03:00,5512
Логинова Ирина Мироновна,Беларусь,FI 6305631,167-777-919 26,1430 5969 2414 3185,Сбербанк,MasterCard,"Темная моча, Боль в правом подреберье",Гепатолог,2024-08-03T16:23:19+03:00,"УЗИ печени, Биохимический анализ крови",2024-08-05T08:50:22+03:00,6772
Логинова Ирина Мироновна,Беларусь,FI 6305631,167-777-919 26,1430 5969 2414 3185,Сбербанк,MasterCard,"Диагностика травм, Визуализация внутренних органов, Выявление опухолей",Радиолог,2023-06-19T12:04:12+03:00,"УЗИ, Рентген, КТ",2023-06-22T14:02:09+03:00,6236
Логинова Ирина Мироновна,Беларусь,FI 6305631,167-777-919 26,1430 5969 2414 3185,Сбербанк,MasterCard,Гнойные выделения,Хирург,2024-09-13T14:54:23+03:00,"Общий анализ крови, МРТ или КТ",2024-09-15T18:41:51+03:00,3369
Гуляев Ян Леонидович,Россия,7503 318563,377-258-147 43,8110 5951 2199 6667,Сбербанк,MasterCard,Температура,Фтизиатр,2024-09-22T21:12:52+03:00,Проба Манту,2024-09-25T14:54:45+03:00,10593
Гуляев Ян Леонидович,Россия,7503 318563,377-258-147 43,8110 5951 2199 6667,Сбербанк,MasterCard,"Кашель, Температура",Педиатр,2024-09-23T10:54:19+03:00,"Общий анализ крови, Общий анализ мочи, Копрограмма",2024-09-24T14:09:04+03:00,3271
Гуляев Ян Леонидович,Россия,7503 318563,377-258-147 43,8110 5951 2199 6667,Сбербанк,MasterCard,"Зубная боль, Гнойные выделения",Стоматолог,2024-07-05T13:42:57+03:00,"Рентген зубов, Биохимический анализ крови, Аллергопробы",2024-07-06T20:55:24+03:00,10484
Плотникова Есения Остаповна,Казахстан,N 0437138,476-348-675 48,7124 7225 1519 4096,Тинькофф,Мир,"Отек десен, Гнойные выделения",Стоматолог,2025-01-18T19:07:00+03:00,Панорамный снимок зубов,2025-01-20T10:40:23+03:00,11651
Плотникова Есения Остаповна,Казахстан,N 0437138,476-348-675 48,7124 7225 1519 4096,Тинькофф,Мир,Нарушение речи,Логопед,2023-06-10T17:12:40+03:00,"Аудиометрия, Нейропсихологическая диагностика",2023-06-13T19:13:59+03:00,4233
Плотникова Есения Остаповна,Казахстан,N 0437138,476-348-675 48,7124 7225 1519 4096,Тинькофф,Мир,"Выделения, Зуд, Покраснение кожи, Сыпь",Дерматовенеролог,2023-07-19T09:58:53+03:00,"Общий анализ крови, ПЦР на ИППП, Соскоб кожи",2023-07-22T15:18:14+03:00,6288
Быкова Екатерина Ильинична,Беларусь,VQ 9080570,475-645-548 88,1251 7084 1131 3142,Сбербанк,Мир,Рвота,Педиатр,2023-05-05T19:08:58+03:00,"Общий анализ крови, Общий анализ мочи",2023-05-07T20:38:40+03:00,5518
